1	6	2.507111	0.095315	-0.001348
2	6	1.656534	1.210924	-0.002847
3	6	0.274382	1.068169	-0.001943
4	6	-0.267078	-0.218356	0.000407
5	6	0.551071	-1.351163	0.001556
6	6	1.930307	-1.182156	0.000474
7	6	4.002939	0.257137	0.000905
8	16	-2.030656	-0.525598	0.001474
9	6	-2.681832	0.422812	1.418144
10	6	-2.682677	0.416318	-1.419162
11	1	2.082002	2.207729	-0.004921
12	1	-0.351003	1.953398	-0.003407
13	1	0.122418	-2.34652	0.003099
14	1	2.56765	-2.059226	0.000941
15	1	4.29583	1.306554	-0.035539
16	1	4.437766	-0.186076	0.901431
17	1	4.449726	-0.252334	-0.857254
18	1	-2.256653	-0.02344	2.315864
19	1	-2.406184	1.472331	1.335318
20	1	-3.764859	0.298785	1.416493
21	1	-2.257598	-0.033729	-2.315041
22	1	-3.765641	0.291754	-1.416624
23	1	-2.407497	1.466333	-1.341068
